study_id,hypothesis_id,seed,x,value,series
1,H5,1000,0,0.9927143454551697,bias_score
1,H5,1000,0.2,0.9882177710533142,bias_score
1,H5,1000,0.4,0.9919822216033936,bias_score
1,H5,1000,0.6,0.9915202856063843,bias_score
1,H5,1000,0.8,0.9914693832397461,bias_score
1,H5,1000,1.0,0.9929441809654236,bias_score
1,H6,1000,T0,0.9899145364761353,bias
1,H6,1000,T1,0.9916144609451294,bias
1,H6,1000,T2,0.9916332960128784,bias
1,H5,1001,0,0.9891064167022705,bias_score
1,H5,1001,0.2,0.9898589253425598,bias_score
1,H5,1001,0.4,0.9893996119499207,bias_score
1,H5,1001,0.6,0.989271879196167,bias_score
1,H5,1001,0.8,0.9918186664581299,bias_score
1,H5,1001,1.0,0.9910433292388916,bias_score
1,H6,1001,T0,0.991046130657196,bias
1,H6,1001,T1,0.9902986288070679,bias
1,H6,1001,T2,0.9899613261222839,bias
1,H5,1002,0,0.9860225915908813,bias_score
1,H5,1002,0.2,0.9891785383224487,bias_score
1,H5,1002,0.4,0.9899958372116089,bias_score
1,H5,1002,0.6,0.9898184537887573,bias_score
1,H5,1002,0.8,0.9904739856719971,bias_score
1,H5,1002,1.0,0.9905407428741455,bias_score
1,H6,1002,T0,0.9890264272689819,bias
1,H6,1002,T1,0.9881738424301147,bias
1,H6,1002,T2,0.9887228012084961,bias
1,H5,1003,0,0.9888107776641846,bias_score
1,H5,1003,0.2,0.9878398776054382,bias_score
1,H5,1003,0.4,0.992939829826355,bias_score
1,H5,1003,0.6,0.9910761117935181,bias_score
1,H5,1003,0.8,0.9890814423561096,bias_score
1,H5,1003,1.0,0.9885914921760559,bias_score
1,H6,1003,T0,0.9910185933113098,bias
1,H6,1003,T1,0.9899020195007324,bias
1,H6,1003,T2,0.9916163682937622,bias
1,H5,1004,0,0.9910173416137695,bias_score
1,H5,1004,0.2,0.988415002822876,bias_score
1,H5,1004,0.4,0.988854169845581,bias_score
1,H5,1004,0.6,0.9866894483566284,bias_score
1,H5,1004,0.8,0.9869356751441956,bias_score
1,H5,1004,1.0,0.9824379086494446,bias_score
1,H6,1004,T0,0.9887372255325317,bias
1,H6,1004,T1,0.9853913187980652,bias
1,H6,1004,T2,0.9894760847091675,bias
1,H5,1005,0,0.9900673031806946,bias_score
1,H5,1005,0.2,0.988109290599823,bias_score
1,H5,1005,0.4,0.9836660623550415,bias_score
1,H5,1005,0.6,0.9890063405036926,bias_score
1,H5,1005,0.8,0.9887847900390625,bias_score
1,H5,1005,1.0,0.9902675151824951,bias_score
1,H6,1005,T0,0.9873616099357605,bias
1,H6,1005,T1,0.9893019795417786,bias
1,H6,1005,T2,0.9886123538017273,bias
1,H5,1006,0,0.987632155418396,bias_score
1,H5,1006,0.2,0.9902148246765137,bias_score
1,H5,1006,0.4,0.9914422631263733,bias_score
1,H5,1006,0.6,0.9870878458023071,bias_score
1,H5,1006,0.8,0.9894158244132996,bias_score
1,H5,1006,1.0,0.9905391931533813,bias_score
1,H6,1006,T0,0.989393413066864,bias
1,H6,1006,T1,0.9900797605514526,bias
1,H6,1006,T2,0.9902246594429016,bias
1,H5,1007,0,0.9916331171989441,bias_score
1,H5,1007,0.2,0.9922913312911987,bias_score
1,H5,1007,0.4,0.9934818148612976,bias_score
1,H5,1007,0.6,0.9922345876693726,bias_score
1,H5,1007,0.8,0.9899680614471436,bias_score
1,H5,1007,1.0,0.9940947890281677,bias_score
1,H6,1007,T0,0.9909775853157043,bias
1,H6,1007,T1,0.9930311441421509,bias
1,H6,1007,T2,0.9913549423217773,bias
1,H5,1008,0,0.9876250624656677,bias_score
1,H5,1008,0.2,0.9902018308639526,bias_score
1,H5,1008,0.4,0.9899604320526123,bias_score
1,H5,1008,0.6,0.989136815071106,bias_score
1,H5,1008,0.8,0.9911693334579468,bias_score
1,H5,1008,1.0,0.9895134568214417,bias_score
1,H6,1008,T0,0.9889999628067017,bias
1,H6,1008,T1,0.9898489117622375,bias
1,H6,1008,T2,0.9877692461013794,bias
1,H5,1009,0,0.9911043047904968,bias_score
1,H5,1009,0.2,0.9926865100860596,bias_score
1,H5,1009,0.4,0.9921740889549255,bias_score
1,H5,1009,0.6,0.9932534098625183,bias_score
1,H5,1009,0.8,0.9938505291938782,bias_score
1,H5,1009,1.0,0.992359459400177,bias_score
1,H6,1009,T0,0.9911462664604187,bias
1,H6,1009,T1,0.992836594581604,bias
1,H6,1009,T2,0.9901240468025208,bias
1,H5,1010,0,0.9903149604797363,bias_score
1,H5,1010,0.2,0.9938175082206726,bias_score
1,H5,1010,0.4,0.9884886145591736,bias_score
1,H5,1010,0.6,0.992706835269928,bias_score
1,H5,1010,0.8,0.9905516505241394,bias_score
1,H5,1010,1.0,0.9887974262237549,bias_score
1,H6,1010,T0,0.9921921491622925,bias
1,H6,1010,T1,0.9917586445808411,bias
1,H6,1010,T2,0.9924650192260742,bias
1,H5,1011,0,0.9897035360336304,bias_score
1,H5,1011,0.2,0.9917559027671814,bias_score
1,H5,1011,0.4,0.9897050857543945,bias_score
1,H5,1011,0.6,0.9900313019752502,bias_score
1,H5,1011,0.8,0.9920362234115601,bias_score
1,H5,1011,1.0,0.9884845018386841,bias_score
1,H6,1011,T0,0.9918149709701538,bias
1,H6,1011,T1,0.9895509481430054,bias
1,H6,1011,T2,0.9893189668655396,bias
1,H5,1012,0,0.9886440634727478,bias_score
1,H5,1012,0.2,0.9886929988861084,bias_score
1,H5,1012,0.4,0.9889615178108215,bias_score
1,H5,1012,0.6,0.9876511693000793,bias_score
1,H5,1012,0.8,0.9893936514854431,bias_score
1,H5,1012,1.0,0.9867936372756958,bias_score
1,H6,1012,T0,0.9876207113265991,bias
1,H6,1012,T1,0.9873558878898621,bias
1,H6,1012,T2,0.988469123840332,bias
1,H5,1013,0,0.991332471370697,bias_score
1,H5,1013,0.2,0.9895382523536682,bias_score
1,H5,1013,0.4,0.9906488656997681,bias_score
1,H5,1013,0.6,0.9914664030075073,bias_score
1,H5,1013,0.8,0.9898760318756104,bias_score
1,H5,1013,1.0,0.9908183813095093,bias_score
1,H6,1013,T0,0.9901103973388672,bias
1,H6,1013,T1,0.9914835691452026,bias
1,H6,1013,T2,0.9914190173149109,bias
1,H5,1014,0,0.9891762733459473,bias_score
1,H5,1014,0.2,0.9900448322296143,bias_score
1,H5,1014,0.4,0.9929144978523254,bias_score
1,H5,1014,0.6,0.9913699626922607,bias_score
1,H5,1014,0.8,0.9922340512275696,bias_score
1,H5,1014,1.0,0.9908773303031921,bias_score
1,H6,1014,T0,0.9897383451461792,bias
1,H6,1014,T1,0.9895545840263367,bias
1,H6,1014,T2,0.9891648292541504,bias
1,H5,1015,0,0.9904882907867432,bias_score
