study_id,hypothesis_id,seed,series,x,value
3,H19,3000,Q51,0,0.0044
3,H19,3000,Q2F1,0,0.0016
3,H19,3000,Q51,1,0.0108
3,H19,3000,Q2F1,1,0.0018
3,H19,3000,Q51,2,0.0462
3,H19,3000,Q2F1,2,0.0068
3,H19,3002,Q51,0,0.0042
3,H19,3002,Q2F1,0,0.0014
3,H19,3002,Q51,1,0.0122
3,H19,3002,Q2F1,1,0.0022
3,H19,3002,Q51,2,0.0472
3,H19,3002,Q2F1,2,0.0086
3,H19,3004,Q51,0,0.0044
3,H19,3004,Q2F1,0,0.0016
3,H19,3004,Q51,1,0.014
3,H19,3004,Q2F1,1,0.0034
3,H19,3004,Q51,2,0.0538
3,H19,3004,Q2F1,2,0.0088
3,H19,3006,Q51,0,0.004
3,H19,3006,Q2F1,0,0.0012
3,H19,3006,Q51,1,0.0126
3,H19,3006,Q2F1,1,0.0018
3,H19,3006,Q51,2,0.046
3,H19,3006,Q2F1,2,0.007
3,H19,3008,Q51,0,0.0034
3,H19,3008,Q2F1,0,0.0012
3,H19,3008,Q51,1,0.014
3,H19,3008,Q2F1,1,0.0024
3,H19,3008,Q51,2,0.0474
3,H19,3008,Q2F1,2,0.0064
3,H19,3010,Q51,0,0.0026
3,H19,3010,Q2F1,0,0.001
3,H19,3010,Q51,1,0.0128
3,H19,3010,Q2F1,1,0.0026
3,H19,3010,Q51,2,0.0502
3,H19,3010,Q2F1,2,0.0072
3,H19,3012,Q51,0,0.0042
3,H19,3012,Q2F1,0,0.0018
3,H19,3012,Q51,1,0.0138
3,H19,3012,Q2F1,1,0.0024
3,H19,3012,Q51,2,0.0494
3,H19,3012,Q2F1,2,0.0064
3,H19,3014,Q51,0,0.0036
3,H19,3014,Q2F1,0,0.0014
3,H19,3014,Q51,1,0.0132
3,H19,3014,Q2F1,1,0.0028
3,H19,3014,Q51,2,0.0464
3,H19,3014,Q2F1,2,0.01
3,H19,3016,Q51,0,0.0048
3,H19,3016,Q2F1,0,0.001
3,H19,3016,Q51,1,0.0118
3,H19,3016,Q2F1,1,0.0016
3,H19,3016,Q51,2,0.049
3,H19,3016,Q2F1,2,0.0094
3,H19,3018,Q51,0,0.0052
3,H19,3018,Q2F1,0,0.0022
3,H19,3018,Q51,1,0.0122
3,H19,3018,Q2F1,1,0.0032
3,H19,3018,Q51,2,0.047
3,H19,3018,Q2F1,2,0.0062
3,H19,3020,Q51,0,0.0034
3,H19,3020,Q2F1,0,0.0006
3,H19,3020,Q51,1,0.0106
3,H19,3020,Q2F1,1,0.0026
3,H19,3020,Q51,2,0.0492
3,H19,3020,Q2F1,2,0.006
3,H19,3022,Q51,0,0.004
3,H19,3022,Q2F1,0,0.0016
3,H19,3022,Q51,1,0.0126
3,H19,3022,Q2F1,1,0.0024
3,H19,3022,Q51,2,0.0422
3,H19,3022,Q2F1,2,0.0072
3,H19,3024,Q51,0,0.0034
3,H19,3024,Q2F1,0,0.0012
3,H19,3024,Q51,1,0.0112
3,H19,3024,Q2F1,1,0.0018
3,H19,3024,Q51,2,0.0532
3,H19,3024,Q2F1,2,0.0082
3,H19,3026,Q51,0,0.0042
3,H19,3026,Q2F1,0,0.002
3,H19,3026,Q51,1,0.0116
3,H19,3026,Q2F1,1,0.0024
3,H19,3026,Q51,2,0.0492
3,H19,3026,Q2F1,2,0.0094
3,H19,3028,Q51,0,0.005
3,H19,3028,Q2F1,0,0.0026
3,H19,3028,Q51,1,0.0116
3,H19,3028,Q2F1,1,0.002
3,H19,3028,Q51,2,0.0414
3,H19,3028,Q2F1,2,0.0048
3,H19,3030,Q51,0,0.003
3,H19,3030,Q2F1,0,0.001
3,H19,3030,Q51,1,0.0108
3,H19,3030,Q2F1,1,0.003
3,H19,3030,Q51,2,0.055
3,H19,3030,Q2F1,2,0.0078
3,H19,3032,Q51,0,0.0042
3,H19,3032,Q2F1,0,0.0016
3,H19,3032,Q51,1,0.0126
3,H19,3032,Q2F1,1,0.0024
3,H19,3032,Q51,2,0.0462
3,H19,3032,Q2F1,2,0.0086
